ID,X,Y,movie
2,493,21,Term1_night_0_オサムシ2
2,493,21,Term1_night_0_オサムシ2
2,492,21,Term1_night_0_オサムシ2
2,493,22,Term1_night_0_オサムシ2
2,492,23,Term1_night_0_オサムシ2
2,492,24,Term1_night_0_オサムシ2
2,492,26,Term1_night_0_オサムシ2
2,491,26,Term1_night_0_オサムシ2
2,491,27,Term1_night_0_オサムシ2
2,491,27,Term1_night_0_オサムシ2
2,491,27,Term1_night_0_オサムシ2
2,491,28,Term1_night_0_オサムシ2
2,490,29,Term1_night_0_オサムシ2
2,490,29,Term1_night_0_オサムシ2
2,488,30,Term1_night_0_オサムシ2
2,488,30,Term1_night_0_オサムシ2
2,487,31,Term1_night_0_オサムシ2
2,487,31,Term1_night_0_オサムシ2
2,487,32,Term1_night_0_オサムシ2
2,487,34,Term1_night_0_オサムシ2
2,487,33,Term1_night_0_オサムシ2
2,487,36,Term1_night_0_オサムシ2
2,487,36,Term1_night_0_オサムシ2
2,486,37,Term1_night_0_オサムシ2
2,486,38,Term1_night_0_オサムシ2
2,486,39,Term1_night_0_オサムシ2
2,486,39,Term1_night_0_オサムシ2
2,486,41,Term1_night_0_オサムシ2
2,485,40,Term1_night_0_オサムシ2
2,485,41,Term1_night_0_オサムシ2
2,484,42,Term1_night_0_オサムシ2
2,484,43,Term1_night_0_オサムシ2
2,483,44,Term1_night_0_オサムシ2
2,483,44,Term1_night_0_オサムシ2
2,484,45,Term1_night_0_オサムシ2
2,483,46,Term1_night_0_オサムシ2
2,482,47,Term1_night_0_オサムシ2
2,482,47,Term1_night_0_オサムシ2
2,482,48,Term1_night_0_オサムシ2
2,481,48,Term1_night_0_オサムシ2
2,481,48,Term1_night_0_オサムシ2
2,481,48,Term1_night_0_オサムシ2
2,481,49,Term1_night_0_オサムシ2
2,481,49,Term1_night_0_オサムシ2
2,480,49,Term1_night_0_オサムシ2
2,480,50,Term1_night_0_オサムシ2
2,479,51,Term1_night_0_オサムシ2
2,479,51,Term1_night_0_オサムシ2
2,479,52,Term1_night_0_オサムシ2
2,479,52,Term1_night_0_オサムシ2
2,479,53,Term1_night_0_オサムシ2
2,478,55,Term1_night_0_オサムシ2
2,477,56,Term1_night_0_オサムシ2
2,477,56,Term1_night_0_オサムシ2
2,477,57,Term1_night_0_オサムシ2
2,476,57,Term1_night_0_オサムシ2
2,476,58,Term1_night_0_オサムシ2
2,476,59,Term1_night_0_オサムシ2
2,475,61,Term1_night_0_オサムシ2
2,474,61,Term1_night_0_オサムシ2
2,474,62,Term1_night_0_オサムシ2
2,474,62,Term1_night_0_オサムシ2
2,473,63,Term1_night_0_オサムシ2
2,473,64,Term1_night_0_オサムシ2
2,473,65,Term1_night_0_オサムシ2
2,473,64,Term1_night_0_オサムシ2
2,472,67,Term1_night_0_オサムシ2
2,472,69,Term1_night_0_オサムシ2
2,471,70,Term1_night_0_オサムシ2
2,471,70,Term1_night_0_オサムシ2
2,471,71,Term1_night_0_オサムシ2
2,471,71,Term1_night_0_オサムシ2
2,470,73,Term1_night_0_オサムシ2
2,469,74,Term1_night_0_オサムシ2
2,470,75,Term1_night_0_オサムシ2
2,469,76,Term1_night_0_オサムシ2
2,469,77,Term1_night_0_オサムシ2
2,468,78,Term1_night_0_オサムシ2
2,467,79,Term1_night_0_オサムシ2
2,466,80,Term1_night_0_オサムシ2
2,466,81,Term1_night_0_オサムシ2
2,465,82,Term1_night_0_オサムシ2
2,464,82,Term1_night_0_オサムシ2
2,463,84,Term1_night_0_オサムシ2
2,463,84,Term1_night_0_オサムシ2
2,462,85,Term1_night_0_オサムシ2
2,462,86,Term1_night_0_オサムシ2
2,461,87,Term1_night_0_オサムシ2
2,459,88,Term1_night_0_オサムシ2
